food type,mean elasticity
Food away from home,0.81
Soft drinks ,0.79
Juice ,0.76
Beef ,0.75
Pork ,0.72
Fruit,0.7
Poultry ,0.68
Dairy,0.65
Cereals ,0.6
Milk,0.59
Vegetables ,0.58
Fish,0.5
Fats/oils ,0.48
Cheese,0.44
Sweets/sugars ,0.34
Eggs,0.27
